,model,brand,year,price,mileage,fuel_type,transmission
741,Maruti Suzuki Swift,Maruti,2009,120000,90000,Diesel,Manual
742,Maruti Suzuki Swift,Maruti,2009,120000,90000,Diesel,Manual
743,Tata Indigo eCS,Tata,2016,130000,150000,Diesel,Manual
744,Chevrolet Beat LS,Chevrolet,2014,189000,31000,Diesel,Manual
745,Mahindra Xylo E8,Mahindra,2011,365000,43000,Diesel,Manual
746,Hyundai Eon D,Hyundai,2013,170000,20000,Gasoline,Manual
747,Tata Sumo Gold,Tata,2013,215000,100000,Gasoline,Manual
748,Tata Nano,Tata,2013,60000,7000,Gasoline,Manual
749,Hyundai Elite i20,Hyundai,2017,599999,31000,Gasoline,Manual
750,Hyundai i10 Magna,Hyundai,2009,400000,33000,Gasoline,Manual
751,Hyundai Creta,Hyundai,2016,900000,60000,Diesel,Manual
752,Volkswagen Polo,Volkswagen,2013,299999,48000,Diesel,Manual
753,Maruti Suzuki Dzire,Maruti,2014,374999,33000,Gasoline,Manual
754,Tata Bolt XM,Tata,2015,600000,15000,Gasoline,Manual
755,Maruti Suzuki Alto,Maruti,2005,70000,47000,Gasoline,Manual
756,Maruti Suzuki Alto,Maruti,2005,100000,40000,Gasoline,Manual
757,Maruti Suzuki Ritz,Maruti,2010,150000,38000,Diesel,Automatic
758,Maruti Suzuki Alto,Maruti,2017,225000,12500,Gasoline,Manual
759,Maruti Suzuki Dzire,Maruti,2009,210000,42000,Gasoline,Manual
760,Hyundai i20 Asta,Hyundai,2014,425000,31000,Gasoline,Manual
761,Maruti Suzuki Swift,Maruti,2008,162000,60000,Diesel,Automatic
762,Tata Indica V2,Tata,2005,60000,80000,Diesel,Manual
763,Mahindra Scorpio VLX,Mahindra,2014,650000,77000,Diesel,Manual
764,Toyota Innova 2.5,Toyota,2012,750000,75000,Diesel,Manual
765,Mahindra Xylo E8,Mahindra,2010,375000,40000,Diesel,Manual
766,Hyundai i20 Magna,Hyundai,2011,230000,47000,Gasoline,Manual
767,Maruti Suzuki Omni,Maruti,2000,35999,60000,Gasoline,Automatic
768,Mahindra KUV100,Mahindra,2016,380000,26500,Gasoline,Manual
769,Mahindra KUV100 K8,Mahindra,2019,560000,2875,Gasoline,Manual
770,Datsun Go Plus,Datsun,2016,285000,13900,Gasoline,Manual
771,Ford Endeavor 4x4,Ford,2019,2900000,9000,Diesel,Manual
772,Tata Indica V2,Tata,2005,39999,80000,Diesel,Manual
773,Hyundai Santro Xing,Hyundai,2006,85000,60000,Gasoline,Manual
774,Maruti Suzuki Wagon,Maruti,2016,395000,20000,Gasoline,Manual
775,Maruti Suzuki Swift,Maruti,2008,175000,58000,Diesel,Automatic
776,Maruti Suzuki Alto,Maruti,2019,400000,1500,Gasoline,Manual
777,Toyota Innova 2.5,Toyota,2011,750000,75000,Diesel,Manual
778,Maruti Suzuki Alto,Maruti,2016,250000,2450,Gasoline,Manual
779,Maruti Suzuki Alto,Maruti,2019,425000,1625,Gasoline,Automatic
780,Volkswagen Polo Highline1.2L,Volkswagen,2017,525000,45000,Gasoline,Automatic
781,Mahindra Logan,Mahindra,2009,130000,65000,Diesel,Manual
782,Maruti Suzuki 800,Maruti,2000,30000,33400,Gasoline,Manual
783,Mahindra Scorpio,Mahindra,2011,475000,60123,Diesel,Manual
784,Chevrolet Sail 1.2,Chevrolet,2013,300000,28000,Gasoline,Manual
785,Hyundai Santro AE,Hyundai,2003,60000,70000,Gasoline,Manual
786,Maruti Suzuki Wagon,Maruti,2006,100000,7000,Gasoline,Manual
787,Hyundai Eon,Hyundai,2018,260000,25000,Gasoline,Automatic
788,Tata Manza,Tata,2015,100000,100000,Diesel,Automatic
789,Toyota Etios G,Toyota,2013,265000,42000,Gasoline,Manual
790,Hyundai Getz Prime,Hyundai,2009,115000,20000,Gasoline,Manual
791,Toyota Qualis,Toyota,2003,180000,100000,Diesel,Manual
792,Hyundai Santro Xing,Hyundai,2004,45000,137495,Gasoline,Manual
793,Tata Indica eV2,Tata,2016,50500,91200,Diesel,Manual
794,Honda City 1.5,Honda,2009,270000,55000,Gasoline,Manual
795,Tata Zest XE,Tata,2017,290000,120000,Diesel,Manual
796,Mahindra Quanto C4,Mahindra,2013,325000,63000,Diesel,Manual
797,Tata Indigo eCS,Tata,2016,160000,104000,Diesel,Manual
798,Maruti Suzuki Swift,Maruti,2016,350000,146000,Diesel,Automatic
799,Hyundai Elite i20,Hyundai,2011,290000,40000,Gasoline,Manual
800,Hyundai i20 Select,Hyundai,2011,290000,40000,Gasoline,Manual
801,Chevrolet Tavera Neo,Chevrolet,2007,465000,100800,Diesel,Manual
802,Maruti Suzuki Dzire,Maruti,2016,325000,150000,Diesel,Manual
803,Hyundai Elite i20,Hyundai,2018,510000,2100,Gasoline,Manual
804,Honda City VX,Honda,2016,860000,95000,Gasoline,Manual
805,Maruti Suzuki Dzire,Maruti,2016,450000,2500,Diesel,Manual
806,Hyundai Getz,Hyundai,2006,125000,80000,Gasoline,Manual
807,Mercedes Benz C,Mercedes,2006,500001,15000,Gasoline,Manual
808,Maruti Suzuki Alto,Maruti,2005,95000,65000,Gasoline,Manual
809,Maruti Suzuki Swift,Maruti,2009,250000,51000,Diesel,Automatic
810,Skoda Fabia,Skoda,2009,110000,45000,Gasoline,Manual
811,Maruti Suzuki Ritz,Maruti,2011,270000,50000,Gasoline,Manual
812,Tata Indica V2,Tata,2009,110000,30000,Diesel,Manual
813,Toyota Corolla Altis,Toyota,2009,300000,132000,Gasoline,Manual
814,Tata Zest XM,Tata,2018,260000,27000,Diesel,Manual
815,Mahindra Quanto C8,Mahindra,2013,390000,40000,Diesel,Manual
